EID,Xvalue,Yvalue,pressure,touchMajor,touchMinor,pointerID,fingerOrientation,actionType,time
0,716.0,1140.0,0.19215688109397888,11.0,8.0,0,0.0,0.0,2017-5-23 15:30:59:913
1,715.0,1138.0,0.19607844948768616,12.0,8.0,0,0.0,,null
2,714.0,1133.0,0.20000001788139346,12.0,8.0,0,0.0,,null
3,713.5274047851562,1124.9664306640623,0.20000001788139346,12.0,8.0,0,0.0,2.0,2017-5-23 15:30:59:940
4,713.0,1116.0,0.20000001788139346,12.0,9.0,0,0.0,,null
5,712.0,1086.0,0.207843154668808,12.0,9.0,0,0.0,,null
6,712.0,1062.367431640625,0.207843154668808,12.0,9.0,0,0.0,2.0,2017-5-23 15:30:59:958
7,712.0,1043.0,0.2117647230625153,12.0,9.0,0,0.0,,null
8,713.0,999.0,0.2117647230625153,12.0,9.0,0,0.0,,null
9,714.18359375,972.9608154296876,0.2117647230625153,12.0,9.0,0,0.0,2.0,2017-5-23 15:30:59:977
10,715.0,955.0,0.21568629145622253,12.0,9.0,0,0.0,,null
11,718.0,912.0,0.2117647230625153,12.0,9.0,0,0.0,,null
12,721.51513671875,890.323486328125,0.2117647230625153,12.0,9.0,0,0.0,2.0,2017-5-23 15:30:59:996
13,724.0,875.0,0.21568629145622253,14.0,10.0,0,0.0,,null
14,732.0,837.0,0.21568629145622253,13.0,9.0,0,0.0,,null
15,737.1116333007812,816.5535888671875,0.21568629145622253,13.0,9.0,0,0.0,2.0,2017-5-23 15:31:0:018
16,740.0,805.0,0.21568629145622253,14.0,10.0,0,0.0,,null
17,748.0,776.0,0.22352942824363708,13.0,9.0,0,0.0,,null
18,753.8546752929688,757.7040405273438,0.22352942824363708,13.0,9.0,0,0.0,2.0,2017-5-23 15:31:0:034
19,756.0,751.0,0.2196078598499298,14.0,10.0,0,0.0,,null
20,763.0,730.0,0.22352942824363708,14.0,10.0,0,0.0,,null
21,770.8147583007812,710.4630737304688,0.22352942824363708,14.0,10.0,0,0.0,2.0,2017-5-23 15:31:0:052
22,771.0,710.0,0.21568629145622253,13.0,9.0,0,0.0,,null
23,779.0,691.0,0.21568629145622253,13.0,9.0,0,0.0,,null
24,783.9410400390625,682.0162353515625,0.21568629145622253,13.0,9.0,0,0.0,2.0,2017-5-23 15:31:0:064
25,790.0,671.0,0.20000001788139346,12.0,9.0,0,0.0,,null
26,801.0,654.0,0.1725490242242813,10.0,7.0,0,0.0,,null
27,805.9671020507812,647.2266235351562,0.1725490242242813,10.0,7.0,0,0.0,2.0,2017-5-23 15:31:0:081
28,812.0,639.0,0.050980396568775184,8.0,6.0,0,0.0,2.0,2017-5-23 15:31:0:088
29,812.0,639.0,0.050980396568775184,8.0,6.0,0,0.0,1.0,2017-5-23 15:31:0:089
30,728.0,1042.0,0.207843154668808,12.0,9.0,0,0.0,0.0,2017-5-23 15:31:0:240
31,728.0,1040.0,0.21568629145622253,12.0,9.0,0,0.0,,null
32,729.0,1030.0,0.2117647230625153,12.0,9.0,0,0.0,,null
33,730.7767333984375,1018.0069580078124,0.2117647230625153,12.0,9.0,0,0.0,2.0,2017-5-23 15:31:0:265
34,733.0,1003.0,0.21568629145622253,13.0,9.0,0,0.0,,null
35,739.0,957.0,0.2117647230625153,14.0,10.0,0,0.0,,null
36,743.0462036132812,930.4749755859376,0.2117647230625153,14.0,10.0,0,0.0,2.0,2017-5-23 15:31:0:282
37,748.0,898.0,0.21568629145622253,14.0,10.0,0,0.0,,null
38,757.0,837.0,0.22352942824363708,14.0,10.0,0,0.0,,null
39,760.2471313476562,814.6761474609375,0.22352942824363708,14.0,10.0,0,0.0,2.0,2017-5-23 15:31:0:299
40,765.0,782.0,0.22352942824363708,13.0,9.0,0,0.0,,null
41,774.0,731.0,0.22352942824363708,14.0,10.0,0,0.0,,null
42,778.5,705.5,0.22352942824363708,14.0,10.0,0,0.0,2.0,2017-5-23 15:31:0:315
43,784.0,679.0,0.2274509966373444,14.0,10.0,0,0.0,,null
44,796.0,633.0,0.2274509966373444,14.0,10.0,0,0.0,,null
45,801.2607421875,615.9025268554688,0.2274509966373444,14.0,10.0,0,0.0,2.0,2017-5-23 15:31:0:332
46,808.0,594.0,0.2313725650310517,14.0,10.0,0,0.0,,null
47,820.0,559.0,0.22352942824363708,13.0,9.0,0,0.0,,null
48,825.423095703125,543.1826171875,0.22352942824363708,13.0,9.0,0,0.0,2.0,2017-5-23 15:31:0:348
49,833.0,528.0,0.22352942824363708,14.0,10.0,0,0.0,,null
50,846.0,499.0,0.207843154668808,13.0,9.0,0,0.0,,null
51,853.8038330078125,485.5601196289063,0.207843154668808,13.0,9.0,0,0.0,2.0,2017-5-23 15:31:0:365
52,864.0,468.0,0.19607844948768616,12.0,9.0,0,0.0,,null
53,883.0,440.0,0.18039216101169586,11.0,8.0,0,0.0,,null
54,890.4318237304688,425.1364135742188,0.18039216101169586,11.0,8.0,0,0.0,2.0,2017-5-23 15:31:0:381
55,905.0,396.0,0.10588236153125764,9.0,7.0,0,0.0,2.0,2017-5-23 15:31:0:388
56,905.0,396.0,0.10588236153125764,9.0,7.0,0,0.0,1.0,2017-5-23 15:31:0:389
57,762.0,888.0,0.2196078598499298,14.0,10.0,0,0.0,0.0,2017-5-23 15:31:0:590
58,762.0,882.0,0.2196078598499298,14.0,10.0,0,0.0,,null
59,763.0,855.0,0.2196078598499298,13.0,9.0,0,0.0,,null
60,765.5892333984375,830.4024658203125,0.2196078598499298,13.0,9.0,0,0.0,2.0,2017-5-23 15:31:0:615
61,769.0,798.0,0.2196078598499298,13.0,9.0,0,0.0,,null
62,777.0,728.0,0.22352942824363708,13.0,9.0,0,0.0,,null
63,780.3740234375,704.0442504882812,0.22352942824363708,13.0,9.0,0,0.0,2.0,2017-5-23 15:31:0:631
64,787.0,657.0,0.2274509966373444,14.0,10.0,0,0.0,,null
