EID,Xvalue,Yvalue,pressure,touchMajor,touchMinor,pointerID,fingerOrientation,actionType,time
0,958.359375,1751.875,1.0,1.953125,1.46484375,0,0.0,0.0,2017-6-2 15:47:34:630
1,957.3046875,1751.25,1.0,2.44140625,2.44140625,0,0.0,,null
2,956.5068359375,1748.885986328125,1.0,2.44140625,2.44140625,0,0.0,2.0,2017-6-2 15:47:34:653
3,956.25,1748.125,1.0,2.9296875,1.953125,0,0.0,,null
4,954.140625,1735.0,1.0,2.9296875,1.953125,0,0.0,,null
5,953.749267578125,1732.56494140625,1.0,2.9296875,1.953125,0,0.0,2.0,2017-6-2 15:47:34:669
6,950.2734375,1703.75,1.0,3.41796875,1.953125,0,0.0,,null
7,948.2188110351562,1667.62939453125,1.0,3.41796875,1.953125,0,0.0,2.0,2017-6-2 15:47:34:686
8,947.109375,1648.125,1.0,2.9296875,2.9296875,0,0.0,,null
9,945.3515625,1571.25,1.0,2.44140625,2.44140625,0,0.0,,null
10,945.1993408203124,1564.592529296875,1.0,2.44140625,2.44140625,0,0.0,2.0,2017-6-2 15:47:34:703
11,946.40625,1481.875,1.0,3.41796875,1.953125,0,0.0,,null
12,947.3887329101562,1433.31982421875,1.0,3.41796875,1.953125,0,0.0,2.0,2017-6-2 15:47:34:720
13,948.1640625,1395.0,1.0,3.41796875,3.41796875,0,0.0,,null
14,952.1994018554688,1326.249755859375,1.0,3.41796875,3.41796875,0,0.0,2.0,2017-6-2 15:47:34:736
15,952.3828125,1323.125,1.0,2.9296875,1.953125,0,0.0,,null
16,962.2265625,1263.125,1.0,2.9296875,1.953125,0,0.0,,null
17,966.3565673828124,1237.9517822265625,1.0,2.9296875,1.953125,0,0.0,2.0,2017-6-2 15:47:34:753
18,983.3203125,1208.75,1.0,3.41796875,3.41796875,0,0.0,,null
19,1006.815185546875,1159.0791015625,1.0,3.41796875,3.41796875,0,0.0,2.0,2017-6-2 15:47:34:770
20,1009.3359375,1153.75,1.0,3.41796875,1.953125,0,0.0,,null
21,1034.296875,1108.75,1.0,2.9296875,2.9296875,0,0.0,,null
22,1043.09033203125,1092.89697265625,1.0,2.9296875,2.9296875,0,0.0,2.0,2017-6-2 15:47:34:787
23,1064.1796875,1071.875,1.0,2.9296875,2.9296875,0,0.0,,null
24,1089.1412353515623,1043.59130859375,1.0,2.9296875,2.9296875,0,0.0,2.0,2017-6-2 15:47:34:803
25,1096.171875,1035.625,1.0,3.90625,3.90625,0,0.0,,null
26,1129.21875,985.625,1.0,1.953125,1.953125,0,0.0,,null
27,1136.2840576171875,974.9351806640624,1.0,1.953125,1.953125,0,0.0,2.0,2017-6-2 15:47:34:820
28,1190.390625,910.0,1.0,1.953125,1.953125,0,0.0,,null
