key,keyhold
t,141.0
h,125.0
i,141.0
s,94.0
SPACE,109.0
i,109.0
s,124.0
SPACE,125.0
a,125.0
SPACE,109.0
t,125.0
e,109.0
s,171.0
t,94.0
SPACE,93.0
t,94.0
o,93.0
SPACE,109.0
s,124.0
e,78.0
e,94.0
SPACE,125.0
i,109.0
SPACE,109.0
t,94.0
h,94.0
e,140.0
SPACE,125.0
o,93.0
r,93.0
s,156.0
SPACE,94.0
t,78.0
h,141.0
a,140.0
t,47.0
SPACE,93.0
i,78.0
SPACE,78.0
t,125.0
e,141.0
SPACE,125.0
a,125.0
r,78.0
e,141.0
SPACE,94.0
n,93.0
i,109.0
e,140.0
SPACE,109.0
t,125.0
o,47.0
SPACE,63.0
e,156.0
SPACE,156.0
BACKSPACE,94.0
SPACE,125.0
t,93.0
h,124.0
e,156.0
r,109.0
e,156.0
SPACE,78.0
a,141.0
r,93.0
e,140.0
SPACE,109.0
t,109.0
o,125.0
SPACE,109.0
s,110.0
e,156.0
n,125.0
t,109.0
e,140.0
n,94.0
e,172.0
s,171.0
SPACE,109.0
i,78.0
n,62.0
SPACE,109.0
t,78.0
h,125.0
i,109.0
s,156.0
SPACE,110.0
a,141.0
t,125.0
a,141.0
SPACE,110.0
s,156.0
a,187.0
l,125.0
e,140.0
t,109.0
h,125.0
i,125.0
s,141.0
SPACE,125.0
i,94.0
s,141.0
SPACE,109.0
a,125.0
SPACE,93.0
t,109.0
e,125.0
s,156.0
t,94.0
SPACE,93.0
t,109.0
o,93.0
SPACE,109.0
s,109.0
e,93.0
e,156.0
SPACE,110.0
i,109.0
SPACE,110.0
t,78.0
h,109.0
e,109.0
SPACE,110.0
o,94.0
r,94.0
s,141.0
SPACE,78.0
t,94.0
h,109.0
a,140.0
t,93.0
SPACE,109.0
i,78.0
SPACE,109.0
t,78.0
e,140.0
SPACE,109.0
a,156.0
r,94.0
e,125.0
SPACE,94.0
n,109.0
i,94.0
e,171.0
SPACE,171.0
t,110.0
o,78.0
SPACE,109.0
e,140.0
SPACE,93.0
t,78.0
h,94.0
e,109.0
r,78.0
e,140.0
SPACE,94.0
a,125.0
r,93.0
e,125.0
SPACE,109.0
t,94.0
o,93.0
SPACE,93.0
s,94.0
e,109.0
n,109.0
t,93.0
e,140.0
n,93.0
e,140.0
s,110.0
SPACE,94.0
i,78.0
n,78.0
SPACE,94.0
t,110.0
h,140.0
i,109.0
s,125.0
SPACE,94.0
a,125.0
t,110.0
a,109.0
SPACE,93.0
s,156.0
a,156.0
l,94.0
e,156.0
t,94.0
h,141.0
i,125.0
s,124.0
SPACE,109.0
i,109.0
s,156.0
SPACE,125.0
a,125.0
SPACE,125.0
t,125.0
e,78.0
s,141.0
t,110.0
SPACE,93.0
t,109.0
o,109.0
SPACE,124.0
s,109.0
e,94.0
e,109.0
SPACE,109.0
i,109.0
SPACE,109.0
t,78.0
h,93.0
e,124.0
SPACE,109.0
o,94.0
r,63.0
s,156.0
SPACE,93.0
t,93.0
h,125.0
a,141.0
t,94.0
SPACE,93.0
i,78.0
