key1,key2,time
t,h,331.0
s,SPACE,192.0
SPACE,i,694.0
s,SPACE,175.0
SPACE,a,303.0
t,e,193.0
e,s,128.0
BACKSPACE,BACKSPACE,119.0
BACKSPACE,BACKSPACE,127.0
BACKSPACE,BACKSPACE,127.0
SPACE,t,407.0
t,e,241.0
e,s,118.0
t,SPACE,686.0
SPACE,t,1102.0
o,SPACE,247.0
SPACE,s,377.0
s,e,136.0
e,SPACE,698.0
SPACE,i,752.0
SPACE,t,877.0
t,h,184.0
e,SPACE,224.0
s,SPACE,449.0
SPACE,t,743.0
t,h,160.0
t,SPACE,177.0
SPACE,i,838.0
SPACE,t,1199.0
e,SPACE,281.0
SPACE,a,1468.0
r,e,89.0
e,SPACE,263.0
e,SPACE,264.0
SPACE,t,1180.0
o,SPACE,257.0
SPACE,t,1272.0
t,h,136.0
e,r,95.0
r,e,111.0
e,SPACE,313.0
SPACE,a,796.0
r,e,111.0
e,SPACE,271.0
SPACE,t,966.0
o,SPACE,184.0
SPACE,s,826.0
s,e,112.0
e,n,329.0
t,e,168.0
e,n,352.0
e,s,119.0
s,SPACE,866.0
SPACE,i,955.0
n,SPACE,112.0
SPACE,t,262.0
t,h,111.0
s,SPACE,175.0
SPACE,s,1146.0
t,h,215.0
s,SPACE,144.0
SPACE,i,615.0
s,SPACE,95.0
SPACE,a,263.0
SPACE,t,1609.0
t,e,255.0
e,s,143.0
t,SPACE,368.0
SPACE,t,1496.0
o,SPACE,255.0
SPACE,s,581.0
s,e,152.0
e,SPACE,96.0
SPACE,i,1947.0
SPACE,t,352.0
t,h,127.0
e,SPACE,111.0
s,SPACE,240.0
SPACE,t,1045.0
t,h,305.0
t,SPACE,240.0
SPACE,i,571.0
SPACE,t,254.0
e,SPACE,120.0
SPACE,a,909.0
r,e,207.0
e,SPACE,168.0
r,e,3.0
e,SPACE,118.0
BACKSPACE,BACKSPACE,93.0
BACKSPACE,BACKSPACE,79.0
e,SPACE,168.0
SPACE,t,3762.0
o,SPACE,257.0
e,SPACE,55.0
SPACE,t,1114.0
t,h,183.0
e,r,216.0
r,e,386.0
e,SPACE,377.0
SPACE,a,815.0
r,e,160.0
e,SPACE,128.0
SPACE,t,1834.0
o,SPACE,238.0
SPACE,s,590.0
s,e,160.0
e,n,199.0
t,e,426.0
e,n,224.0
e,s,175.0
s,SPACE,176.0
SPACE,i,1235.0
n,SPACE,144.0
SPACE,t,336.0
t,h,232.0
s,SPACE,105.0
BACKSPACE,BACKSPACE,168.0
BACKSPACE,BACKSPACE,583.0
SPACE,s,1147.0
t,h,200.0
s,SPACE,104.0
SPACE,i,719.0
s,SPACE,64.0
SPACE,a,109.0
SPACE,t,649.0
t,e,281.0
e,s,353.0
t,SPACE,231.0
SPACE,t,1632.0
o,SPACE,160.0
SPACE,s,595.0
s,e,135.0
e,SPACE,150.0
SPACE,i,900.0
SPACE,t,334.0
t,h,369.0
e,SPACE,63.0
s,SPACE,126.0
SPACE,t,1001.0
t,h,281.0
t,SPACE,184.0
SPACE,i,695.0
SPACE,t,390.0
e,SPACE,151.0
SPACE,a,606.0
BACKSPACE,BACKSPACE,111.0
e,SPACE,96.0
e,SPACE,55.0
SPACE,t,1079.0
o,SPACE,233.0
SPACE,t,320.0
t,h,120.0
e,r,120.0
r,e,128.0
e,SPACE,105.0
SPACE,a,529.0
r,e,119.0
e,SPACE,232.0
SPACE,t,1328.0
o,SPACE,337.0
SPACE,s,158.0
s,e,175.0
e,n,314.0
t,e,184.0
e,n,338.0
e,s,183.0
s,SPACE,111.0
SPACE,i,1068.0
n,SPACE,145.0
