key1,key2,time
t,h,184.0
s,SPACE,117.0
SPACE,i,544.0
s,SPACE,117.0
SPACE,a,165.0
SPACE,t,247.0
t,SPACE,267.0
BACKSPACE,BACKSPACE,174.0
BACKSPACE,BACKSPACE,164.0
BACKSPACE,BACKSPACE,179.0
e,s,204.0
t,SPACE,936.0
SPACE,t,256.0
o,SPACE,251.0
SPACE,s,110.0
s,e,218.0
e,SPACE,172.0
SPACE,i,563.0
SPACE,t,103.0
t,h,137.0
e,SPACE,129.0
s,SPACE,116.0
BACKSPACE,BACKSPACE,176.0
BACKSPACE,BACKSPACE,150.0
s,SPACE,385.0
SPACE,t,569.0
t,h,190.0
t,SPACE,246.0
SPACE,i,236.0
SPACE,t,99.0
e,SPACE,1537.0
SPACE,a,196.0
r,e,201.0
e,SPACE,98.0
e,SPACE,165.0
SPACE,t,148.0
o,SPACE,223.0
SPACE,t,1048.0
t,h,169.0
e,r,171.0
SPACE,a,217.0
r,e,202.0
e,SPACE,121.0
SPACE,t,114.0
o,SPACE,277.0
SPACE,s,125.0
s,e,214.0
t,e,210.0
e,s,217.0
s,SPACE,115.0
BACKSPACE,BACKSPACE,181.0
BACKSPACE,BACKSPACE,168.0
BACKSPACE,BACKSPACE,155.0
BACKSPACE,BACKSPACE,154.0
e,s,192.0
s,SPACE,97.0
BACKSPACE,BACKSPACE,180.0
BACKSPACE,BACKSPACE,168.0
BACKSPACE,BACKSPACE,176.0
BACKSPACE,BACKSPACE,175.0
BACKSPACE,BACKSPACE,158.0
BACKSPACE,BACKSPACE,172.0
BACKSPACE,BACKSPACE,171.0
t,e,234.0
e,n,105.0
e,s,212.0
s,SPACE,124.0
SPACE,i,1215.0
n,SPACE,201.0
SPACE,t,103.0
t,h,142.0
s,SPACE,204.0
SPACE,s,444.0
t,h,150.0
s,SPACE,150.0
SPACE,i,577.0
s,SPACE,143.0
SPACE,a,199.0
t,e,168.0
e,s,251.0
BACKSPACE,BACKSPACE,177.0
BACKSPACE,BACKSPACE,161.0
BACKSPACE,BACKSPACE,185.0
SPACE,t,306.0
t,e,131.0
e,s,210.0
t,SPACE,1204.0
SPACE,t,281.0
o,SPACE,323.0
SPACE,s,331.0
s,e,232.0
e,SPACE,154.0
SPACE,i,403.0
SPACE,t,111.0
t,h,138.0
e,SPACE,129.0
s,SPACE,112.0
SPACE,t,3178.0
t,h,288.0
t,SPACE,323.0
SPACE,i,643.0
SPACE,t,153.0
e,SPACE,1315.0
SPACE,a,241.0
r,e,195.0
e,SPACE,109.0
e,SPACE,130.0
SPACE,t,157.0
o,SPACE,223.0
SPACE,t,319.0
t,h,196.0
e,r,202.0
r,e,177.0
e,SPACE,122.0
SPACE,a,1025.0
r,e,215.0
e,SPACE,114.0
SPACE,t,112.0
o,SPACE,298.0
SPACE,s,856.0
s,e,197.0
e,n,89.0
t,e,223.0
e,n,116.0
e,s,216.0
s,SPACE,104.0
SPACE,i,1093.0
n,SPACE,233.0
SPACE,t,62.0
t,h,163.0
s,SPACE,171.0
SPACE,s,295.0
t,h,140.0
s,SPACE,114.0
SPACE,i,221.0
s,SPACE,130.0
SPACE,a,162.0
SPACE,t,491.0
t,e,161.0
e,s,218.0
t,SPACE,371.0
SPACE,t,521.0
o,SPACE,250.0
SPACE,s,156.0
s,e,242.0
e,SPACE,155.0
SPACE,t,101.0
BACKSPACE,BACKSPACE,172.0
BACKSPACE,BACKSPACE,155.0
BACKSPACE,BACKSPACE,168.0
SPACE,t,112.0
t,h,124.0
e,SPACE,159.0
s,SPACE,461.0
SPACE,t,616.0
t,h,165.0
t,SPACE,245.0
SPACE,i,657.0
SPACE,t,808.0
e,SPACE,157.0
SPACE,a,402.0
r,e,227.0
e,SPACE,123.0
