key,keyhold
t,123.0
h,96.0
i,111.0
s,120.0
SPACE,98.0
i,102.0
s,95.0
SPACE,97.0
a,106.0
t,35.0
e,84.0
s,72.0
t,107.0
BACKSPACE,108.0
BACKSPACE,96.0
BACKSPACE,106.0
BACKSPACE,106.0
SPACE,96.0
t,82.0
e,96.0
s,74.0
t,100.0
SPACE,62.0
t,94.0
o,119.0
SPACE,49.0
s,125.0
e,107.0
e,97.0
SPACE,109.0
i,108.0
SPACE,108.0
t,73.0
h,108.0
e,109.0
SPACE,104.0
i,109.0
r,85.0
a,108.0
SPACE,87.0
t,73.0
h,74.0
a,95.0
t,59.0
BACKSPACE,85.0
BACKSPACE,94.0
BACKSPACE,71.0
BACKSPACE,97.0
BACKSPACE,86.0
BACKSPACE,107.0
BACKSPACE,97.0
BACKSPACE,71.0
BACKSPACE,121.0
o,109.0
r,85.0
s,120.0
SPACE,74.0
t,96.0
h,97.0
a,123.0
t,109.0
SPACE,75.0
i,109.0
SPACE,100.0
t,122.0
e,108.0
SPACE,74.0
a,142.0
r,98.0
e,109.0
SPACE,99.0
n,107.0
i,96.0
e,86.0
SPACE,98.0
t,97.0
o,86.0
SPACE,87.0
e,142.0
SPACE,107.0
t,85.0
h,109.0
e,76.0
r,98.0
e,108.0
SPACE,132.0
a,116.0
r,86.0
e,84.0
SPACE,88.0
t,72.0
o,111.0
SPACE,110.0
s,122.0
e,98.0
n,89.0
t,96.0
e,96.0
n,84.0
e,88.0
s,97.0
SPACE,85.0
i,98.0
n,85.0
SPACE,99.0
t,85.0
h,98.0
i,118.0
s,106.0
SPACE,86.0
a,121.0
t,96.0
a,76.0
SPACE,99.0
s,86.0
a,94.0
l,108.0
e,96.0
t,83.0
h,106.0
i,96.0
s,85.0
SPACE,94.0
i,96.0
s,93.0
SPACE,84.0
a,96.0
SPACE,96.0
t,72.0
e,94.0
s,73.0
t,83.0
SPACE,120.0
t,106.0
o,121.0
SPACE,105.0
s,97.0
e,96.0
e,96.0
SPACE,86.0
i,96.0
SPACE,97.0
t,83.0
h,109.0
e,107.0
SPACE,96.0
o,94.0
r,73.0
s,71.0
SPACE,97.0
BACKSPACE,85.0
BACKSPACE,97.0
BACKSPACE,84.0
BACKSPACE,60.0
r,84.0
s,85.0
SPACE,87.0
t,84.0
h,96.0
a,83.0
t,85.0
SPACE,75.0
i,96.0
SPACE,98.0
t,98.0
o,122.0
e,84.0
SPACE,99.0
a,120.0
r,73.0
e,84.0
SPACE,97.0
n,74.0
i,74.0
e,60.0
SPACE,109.0
t,84.0
o,97.0
SPACE,110.0
e,98.0
SPACE,84.0
t,84.0
h,97.0
e,120.0
r,94.0
e,61.0
SPACE,99.0
a,132.0
r,96.0
e,82.0
SPACE,121.0
t,85.0
o,121.0
SPACE,110.0
s,97.0
e,97.0
n,95.0
t,73.0
e,109.0
n,88.0
e,71.0
s,85.0
SPACE,99.0
i,109.0
n,98.0
SPACE,108.0
t,85.0
h,98.0
i,97.0
s,76.0
SPACE,94.0
a,86.0
t,97.0
a,86.0
SPACE,99.0
s,72.0
a,119.0
o,109.0
e,85.0
BACKSPACE,97.0
BACKSPACE,108.0
BACKSPACE,96.0
BACKSPACE,115.0
l,86.0
e,85.0
SPACE,50.0
BACKSPACE,84.0
BACKSPACE,118.0
t,72.0
h,74.0
i,95.0
s,107.0
SPACE,87.0
i,97.0
s,82.0
SPACE,97.0
a,108.0
SPACE,86.0
t,84.0
e,73.0
s,84.0
t,101.0
SPACE,122.0
t,97.0
o,96.0
SPACE,98.0
s,109.0
e,98.0
e,74.0
SPACE,97.0
i,85.0
SPACE,92.0
t,80.0
h,98.0
e,82.0
SPACE,97.0
o,80.0
i,8.0
r,49.0
s,98.0
SPACE,94.0
BACKSPACE,97.0
BACKSPACE,108.0
BACKSPACE,120.0
BACKSPACE,109.0
BACKSPACE,116.0
o,96.0
r,74.0
s,36.0
SPACE,51.0
t,61.0
h,72.0
a,101.0
t,85.0
SPACE,86.0
i,97.0
SPACE,85.0
t,95.0
o,119.0
e,82.0
SPACE,74.0
BACKSPACE,106.0
BACKSPACE,108.0
e,97.0
BACKSPACE,108.0
BACKSPACE,109.0
BACKSPACE,108.0
e,97.0
SPACE,63.0
a,109.0
r,98.0
e,59.0
SPACE,98.0
n,85.0
i,98.0
e,121.0
SPACE,99.0
t,97.0
o,142.0
SPACE,123.0
e,116.0
SPACE,85.0
t,85.0
h,92.0
e,107.0
r,96.0
e,82.0
SPACE,90.0
a,103.0
r,69.0
e,60.0
SPACE,110.0
t,107.0
o,107.0
SPACE,97.0
s,79.0
e,96.0
n,84.0
t,84.0
e,116.0
n,79.0
e,50.0
s,60.0
SPACE,86.0
i,82.0
n,96.0
SPACE,82.0
t,84.0
h,96.0
i,96.0
s,105.0
SPACE,94.0
a,96.0
t,85.0
a,94.0
SPACE,121.0
s,96.0
a,135.0
o,94.0
e,108.0
BACKSPACE,98.0
BACKSPACE,109.0
BACKSPACE,121.0
BACKSPACE,154.0
l,108.0
e,107.0
t,74.0
h,70.0
i,98.0
s,76.0
SPACE,86.0
i,95.0
s,81.0
SPACE,97.0
a,107.0
SPACE,94.0
t,84.0
e,95.0
s,110.0
t,86.0
SPACE,108.0
t,96.0
o,96.0
SPACE,86.0
s,111.0
e,106.0
e,94.0
SPACE,95.0
i,107.0
SPACE,95.0
t,96.0
h,93.0
e,82.0
SPACE,110.0
i,96.0
r,83.0
a,108.0
SPACE,103.0
BACKSPACE,109.0
BACKSPACE,97.0
BACKSPACE,96.0
BACKSPACE,139.0
BACKSPACE,119.0
o,108.0
r,86.0
s,99.0
SPACE,87.0
t,85.0
h,95.0
a,86.0
t,94.0
SPACE,111.0
i,109.0
SPACE,111.0
t,86.0
o,154.0
e,97.0
SPACE,75.0
a,121.0
r,73.0
e,84.0
SPACE,99.0
n,110.0
i,96.0
e,97.0
SPACE,85.0
t,85.0
o,98.0
SPACE,98.0
e,85.0
BACKSPACE,127.0
SPACE,73.0
t,117.0
h,98.0
e,108.0
r,97.0
e,81.0
SPACE,87.0
a,123.0
r,85.0
e,86.0
SPACE,109.0
t,107.0
o,87.0
SPACE,98.0
s,122.0
e,71.0
n,86.0
t,72.0
e,96.0
n,96.0
e,86.0
s,96.0
SPACE,110.0
i,97.0
n,85.0
SPACE,98.0
t,109.0
h,70.0
i,98.0
s,89.0
SPACE,85.0
a,98.0
t,61.0
a,87.0
SPACE,97.0
s,85.0
a,96.0
l,85.0
e,85.0
t,74.0
h,82.0
i,98.0
s,98.0
SPACE,86.0
s,81.0
SPACE,97.0
a,109.0
BACKSPACE,130.0
BACKSPACE,115.0
BACKSPACE,120.0
BACKSPACE,181.0
BACKSPACE,141.0
SPACE,98.0
i,96.0
s,84.0
SPACE,111.0
a,93.0
SPACE,51.0
t,61.0
e,85.0
s,121.0
t,86.0
SPACE,98.0
t,96.0
o,109.0
SPACE,98.0
s,98.0
e,98.0
e,96.0
SPACE,62.0
i,108.0
SPACE,99.0
t,85.0
h,103.0
e,109.0
SPACE,107.0
i,97.0
r,84.0
a,96.0
SPACE,123.0
BACKSPACE,109.0
BACKSPACE,84.0
BACKSPACE,97.0
BACKSPACE,108.0
BACKSPACE,121.0
o,95.0
r,83.0
s,70.0
SPACE,86.0
BACKSPACE,95.0
BACKSPACE,107.0
BACKSPACE,106.0
s,104.0
SPACE,140.0
t,109.0
h,109.0
a,98.0
t,74.0
SPACE,50.0
i,86.0
SPACE,86.0
t,98.0
e,96.0
SPACE,88.0
a,150.0
r,86.0
e,95.0
SPACE,106.0
n,85.0
i,85.0
e,97.0
SPACE,99.0
t,84.0
o,97.0
SPACE,86.0
e,96.0
SPACE,97.0
t,73.0
h,62.0
e,120.0
r,84.0
e,85.0
SPACE,87.0
a,73.0
r,68.0
e,70.0
SPACE,123.0
t,98.0
o,92.0
SPACE,123.0
s,108.0
e,106.0
n,105.0
t,80.0
e,106.0
n,98.0
e,95.0
s,105.0
SPACE,141.0
i,94.0
n,71.0
SPACE,97.0
t,71.0
h,83.0
i,83.0
s,106.0
SPACE,93.0
a,106.0
t,78.0
a,88.0
SPACE,109.0
s,72.0
a,83.0
l,106.0
e,108.0
SPACE,59.0
t,84.0
h,84.0
i,94.0
s,45.0
SPACE,96.0
i,85.0
s,45.0
SPACE,61.0
a,94.0
SPACE,77.0
t,69.0
e,96.0
s,101.0
t,63.0
SPACE,85.0
t,96.0
o,107.0
SPACE,126.0
s,95.0
e,72.0
e,86.0
SPACE,112.0
i,97.0
SPACE,111.0
t,85.0
h,97.0
e,85.0
SPACE,144.0
i,81.0
r,71.0
a,93.0
SPACE,70.0
BACKSPACE,95.0
BACKSPACE,107.0
BACKSPACE,106.0
BACKSPACE,84.0
BACKSPACE,84.0
o,95.0
