key,keyhold
e,24.0
BACKSPACE,48.0
BACKSPACE,40.0
t,94.0
h,72.0
i,50.0
s,25.0
SPACE,67.0
i,41.0
s,81.0
SPACE,75.0
a,72.0
SPACE,73.0
t,74.0
e,81.0
s,64.0
t,81.0
SPACE,84.0
t,95.0
o,57.0
SPACE,74.0
s,75.0
e,73.0
e,74.0
SPACE,76.0
i,130.0
i,72.0
SPACE,85.0
t,64.0
h,81.0
e,65.0
SPACE,90.0
o,73.0
r,49.0
s,81.0
SPACE,91.0
t,64.0
h,81.0
a,85.0
s,10.0
t,81.0
BACKSPACE,41.0
BACKSPACE,48.0
t,57.0
SPACE,61.0
i,81.0
SPACE,60.0
t,65.0
e,73.0
SPACE,92.0
a,89.0
r,64.0
e,82.0
SPACE,90.0
n,57.0
i,41.0
e,81.0
SPACE,89.0
t,81.0
o,89.0
SPACE,66.0
l,40.0
e,73.0
BACKSPACE,74.0
BACKSPACE,42.0
e,90.0
SPACE,75.0
t,81.0
h,81.0
e,97.0
r,57.0
r,89.0
BACKSPACE,57.0
e,48.0
SPACE,81.0
a,88.0
r,72.0
e,81.0
SPACE,58.0
t,80.0
o,82.0
SPACE,92.0
s,73.0
e,81.0
t,72.0
e,74.0
n,25.0
e,82.0
s,82.0
BACKSPACE,49.0
BACKSPACE,49.0
BACKSPACE,80.0
BACKSPACE,64.0
BACKSPACE,64.0
BACKSPACE,73.0
BACKSPACE,64.0
n,73.0
t,80.0
e,58.0
n,56.0
e,89.0
s,118.0
SPACE,86.0
i,64.0
n,57.0
SPACE,58.0
t,80.0
h,57.0
i,88.0
s,105.0
SPACE,86.0
a,121.0
t,105.0
a,89.0
SPACE,53.0
s,97.0
a,105.0
l,74.0
e,81.0
t,105.0
h,72.0
i,56.0
s,89.0
SPACE,66.0
i,72.0
s,81.0
SPACE,67.0
a,114.0
SPACE,84.0
t,89.0
e,56.0
BACKSPACE,88.0
s,103.0
t,89.0
SPACE,66.0
t,81.0
o,72.0
SPACE,74.0
s,80.0
e,73.0
e,56.0
SPACE,74.0
i,72.0
SPACE,50.0
t,80.0
h,81.0
e,105.0
SPACE,76.0
o,65.0
r,58.0
s,49.0
SPACE,75.0
t,80.0
h,81.0
a,73.0
t,49.0
SPACE,66.0
i,65.0
SPACE,66.0
t,64.0
e,89.0
SPACE,69.0
a,89.0
r,82.0
e,74.0
SPACE,91.0
n,64.0
i,66.0
e,64.0
SPACE,83.0
t,73.0
o,57.0
SPACE,51.0
e,65.0
SPACE,50.0
t,66.0
h,65.0
e,96.0
r,73.0
e,81.0
SPACE,66.0
a,121.0
r,81.0
e,72.0
SPACE,58.0
t,64.0
SPACE,60.0
BACKSPACE,58.0
BACKSPACE,56.0
o,56.0
SPACE,67.0
s,90.0
e,73.0
t,56.0
e,89.0
n,81.0
r,63.0
e,2.0
SPACE,76.0
BACKSPACE,42.0
BACKSPACE,113.0
BACKSPACE,73.0
BACKSPACE,50.0
BACKSPACE,65.0
BACKSPACE,82.0
BACKSPACE,81.0
BACKSPACE,41.0
BACKSPACE,66.0
n,58.0
t,73.0
e,82.0
n,81.0
e,97.0
s,112.0
BACKSPACE,56.0
BACKSPACE,57.0
BACKSPACE,64.0
e,81.0
s,88.0
SPACE,83.0
i,65.0
n,72.0
SPACE,75.0
t,81.0
h,48.0
i,56.0
s,65.0
SPACE,75.0
a,72.0
t,40.0
a,56.0
BACKSPACE,41.0
BACKSPACE,33.0
BACKSPACE,41.0
t,57.0
a,50.0
SPACE,50.0
s,49.0
a,56.0
l,34.0
e,48.0
t,48.0
i,58.0
s,50.0
SPACE,35.0
BACKSPACE,34.0
BACKSPACE,17.0
BACKSPACE,32.0
BACKSPACE,49.0
h,121.0
i,97.0
s,48.0
SPACE,50.0
s,48.0
BACKSPACE,32.0
BACKSPACE,64.0
a,47.0
SPACE,58.0
t,138.0
e,120.0
s,65.0
t,64.0
SPACE,57.0
t,57.0
o,64.0
SPACE,57.0
s,56.0
e,48.0
e,64.0
SPACE,33.0
i,50.0
SPACE,90.0
t,66.0
h,65.0
e,57.0
SPACE,58.0
o,57.0
r,56.0
s,65.0
SPACE,59.0
t,57.0
a,55.0
s,2.0
t,41.0
BACKSPACE,25.0
BACKSPACE,25.0
BACKSPACE,57.0
BACKSPACE,50.0
h,48.0
a,55.0
t,40.0
SPACE,50.0
i,48.0
SPACE,50.0
t,40.0
e,56.0
SPACE,42.0
a,56.0
r,33.0
e,65.0
SPACE,27.0
n,58.0
i,56.0
e,56.0
SPACE,43.0
t,65.0
o,49.0
SPACE,51.0
r,15.0
e,39.0
BACKSPACE,32.0
BACKSPACE,57.0
e,49.0
BACKSPACE,49.0
SPACE,50.0
t,41.0
h,57.0
e,56.0
r,41.0
e,56.0
SPACE,51.0
s,73.0
r,48.0
e,65.0
BACKSPACE,24.0
BACKSPACE,40.0
BACKSPACE,33.0
a,48.0
r,33.0
e,49.0
SPACE,44.0
t,57.0
o,66.0
SPACE,51.0
s,49.0
e,55.0
n,57.0
t,57.0
e,73.0
n,73.0
e,57.0
s,48.0
SPACE,41.0
i,41.0
n,48.0
SPACE,59.0
t,56.0
i,64.0
SPACE,60.0
BACKSPACE,27.0
BACKSPACE,41.0
BACKSPACE,57.0
BACKSPACE,49.0
h,48.0
i,57.0
s,57.0
SPACE,35.0
a,89.0
t,57.0
s,30.0
a,41.0
SPACE,51.0
BACKSPACE,40.0
BACKSPACE,33.0
BACKSPACE,65.0
a,57.0
SPACE,45.0
s,57.0
a,73.0
l,50.0
e,57.0
t,65.0
h,48.0
i,74.0
s,57.0
SPACE,50.0
i,48.0
s,55.0
SPACE,58.0
a,48.0
SPACE,66.0
t,65.0
e,65.0
s,54.0
t,49.0
BACKSPACE,25.0
BACKSPACE,40.0
t,33.0
SPACE,52.0
t,56.0
o,49.0
SPACE,49.0
s,65.0
e,40.0
e,57.0
SPACE,58.0
i,58.0
SPACE,74.0
t,48.0
h,64.0
e,57.0
SPACE,58.0
o,57.0
r,72.0
s,113.0
SPACE,51.0
t,40.0
h,56.0
a,56.0
r,41.0
BACKSPACE,72.0
t,57.0
SPACE,49.0
i,67.0
SPACE,71.0
n,2.0
t,50.0
e,41.0
BACKSPACE,25.0
BACKSPACE,25.0
BACKSPACE,41.0
BACKSPACE,33.0
BACKSPACE,41.0
BACKSPACE,50.0
t,41.0
e,49.0
SPACE,33.0
a,49.0
r,41.0
e,64.0
SPACE,50.0
n,58.0
i,64.0
e,65.0
SPACE,58.0
t,56.0
o,74.0
SPACE,74.0
e,56.0
SPACE,36.0
t,56.0
h,57.0
e,74.0
r,40.0
e,57.0
SPACE,42.0
s,49.0
r,49.0
e,66.0
BACKSPACE,25.0
BACKSPACE,33.0
BACKSPACE,32.0
a,57.0
r,41.0
e,65.0
SPACE,51.0
t,48.0
o,55.0
SPACE,49.0
s,65.0
e,65.0
n,65.0
t,57.0
e,56.0
n,65.0
e,64.0
s,57.0
SPACE,36.0
i,58.0
n,57.0
SPACE,53.0
t,58.0
h,65.0
i,58.0
s,49.0
SPACE,34.0
a,72.0
t,41.0
a,65.0
SPACE,59.0
s,58.0
a,73.0
l,48.0
e,59.0
t,57.0
h,41.0
i,56.0
SPACE,68.0
BACKSPACE,24.0
BACKSPACE,49.0
s,57.0
SPACE,58.0
i,49.0
s,65.0
SPACE,42.0
a,65.0
SPACE,75.0
t,56.0
e,56.0
s,57.0
t,48.0
SPACE,58.0
t,41.0
o,40.0
SPACE,67.0
s,72.0
e,40.0
e,58.0
SPACE,59.0
i,57.0
SPACE,83.0
t,56.0
h,64.0
r,19.0
e,44.0
SPACE,43.0
BACKSPACE,33.0
BACKSPACE,41.0
BACKSPACE,49.0
e,32.0
SPACE,50.0
o,57.0
r,64.0
s,65.0
SPACE,62.0
t,48.0
h,56.0
a,74.0
t,49.0
SPACE,57.0
i,56.0
SPACE,57.0
