key1,key2,time
t,h,172.0
BACKSPACE,BACKSPACE,187.0
BACKSPACE,BACKSPACE,172.0
BACKSPACE,BACKSPACE,327.0
BACKSPACE,BACKSPACE,390.0
t,h,156.0
BACKSPACE,BACKSPACE,1045.0
BACKSPACE,BACKSPACE,109.0
BACKSPACE,BACKSPACE,94.0
BACKSPACE,BACKSPACE,131.0
BACKSPACE,BACKSPACE,122.0
t,h,120.0
s,SPACE,120.0
SPACE,i,331.0
t,e,125.0
e,s,249.0
t,SPACE,702.0
SPACE,t,390.0
o,SPACE,358.0
SPACE,s,78.0
s,e,203.0
e,SPACE,437.0
SPACE,i,499.0
SPACE,t,281.0
t,h,140.0
e,SPACE,93.0
s,SPACE,811.0
SPACE,t,749.0
t,h,109.0
t,SPACE,1139.0
SPACE,i,920.0
SPACE,t,234.0
e,SPACE,109.0
SPACE,a,359.0
r,e,172.0
e,SPACE,624.0
e,SPACE,265.0
SPACE,t,811.0
o,SPACE,234.0
SPACE,t,515.0
t,h,187.0
e,r,218.0
r,e,218.0
e,SPACE,219.0
SPACE,a,265.0
r,e,172.0
e,SPACE,140.0
SPACE,t,281.0
o,SPACE,344.0
SPACE,s,390.0
s,e,171.0
e,n,109.0
t,e,156.0
e,n,250.0
e,s,234.0
s,SPACE,140.0
BACKSPACE,BACKSPACE,172.0
BACKSPACE,BACKSPACE,280.0
BACKSPACE,BACKSPACE,141.0
BACKSPACE,BACKSPACE,218.0
BACKSPACE,BACKSPACE,125.0
BACKSPACE,BACKSPACE,250.0
BACKSPACE,BACKSPACE,109.0
BACKSPACE,BACKSPACE,125.0
BACKSPACE,BACKSPACE,124.0
BACKSPACE,BACKSPACE,125.0
s,e,219.0
e,n,78.0
t,e,172.0
e,n,140.0
e,s,281.0
s,SPACE,218.0
SPACE,i,702.0
n,SPACE,187.0
t,h,78.0
SPACE,s,156.0
t,h,78.0
s,SPACE,94.0
SPACE,i,280.0
s,SPACE,172.0
SPACE,a,343.0
SPACE,t,624.0
t,e,125.0
e,s,250.0
BACKSPACE,BACKSPACE,530.0
BACKSPACE,BACKSPACE,218.0
BACKSPACE,BACKSPACE,172.0
BACKSPACE,BACKSPACE,78.0
BACKSPACE,BACKSPACE,125.0
t,e,156.0
e,s,249.0
t,SPACE,281.0
SPACE,t,218.0
o,SPACE,281.0
SPACE,s,156.0
s,e,218.0
e,SPACE,499.0
SPACE,i,624.0
SPACE,t,936.0
t,h,452.0
e,SPACE,125.0
s,SPACE,125.0
SPACE,a,312.0
r,e,172.0
BACKSPACE,BACKSPACE,156.0
BACKSPACE,BACKSPACE,249.0
BACKSPACE,BACKSPACE,203.0
SPACE,t,359.0
t,h,203.0
t,SPACE,234.0
SPACE,i,327.0
SPACE,t,281.0
e,SPACE,140.0
SPACE,a,265.0
r,e,187.0
e,SPACE,608.0
e,SPACE,124.0
SPACE,t,312.0
o,SPACE,234.0
SPACE,t,530.0
t,h,203.0
e,r,187.0
r,e,188.0
e,SPACE,171.0
SPACE,a,281.0
r,e,187.0
e,SPACE,203.0
SPACE,t,718.0
o,SPACE,265.0
SPACE,s,110.0
s,e,187.0
e,n,140.0
t,e,156.0
e,n,187.0
e,s,218.0
s,SPACE,172.0
n,SPACE,171.0
SPACE,t,328.0
t,h,203.0
s,SPACE,202.0
SPACE,s,218.0
t,h,94.0
s,SPACE,140.0
SPACE,i,1061.0
s,SPACE,141.0
SPACE,a,702.0
SPACE,t,530.0
t,e,125.0
e,s,234.0
t,SPACE,297.0
SPACE,t,281.0
o,SPACE,250.0
SPACE,s,140.0
s,e,187.0
e,SPACE,687.0
SPACE,i,405.0
SPACE,t,296.0
t,h,203.0
e,SPACE,141.0
s,SPACE,749.0
SPACE,t,468.0
t,h,203.0
t,SPACE,250.0
SPACE,i,281.0
SPACE,t,203.0
e,SPACE,1232.0
SPACE,a,406.0
r,e,219.0
e,SPACE,109.0
BACKSPACE,BACKSPACE,171.0
BACKSPACE,BACKSPACE,234.0
BACKSPACE,BACKSPACE,234.0
BACKSPACE,BACKSPACE,281.0
BACKSPACE,BACKSPACE,187.0
e,SPACE,125.0
SPACE,t,406.0
o,SPACE,686.0
SPACE,t,734.0
t,h,187.0
e,r,187.0
r,e,203.0
e,SPACE,171.0
SPACE,a,266.0
r,e,172.0
e,SPACE,546.0
SPACE,t,546.0
o,SPACE,421.0
SPACE,s,702.0
s,e,156.0
e,n,156.0
t,e,218.0
e,n,234.0
e,s,219.0
s,SPACE,265.0
SPACE,i,640.0
n,SPACE,187.0
SPACE,t,250.0
t,h,109.0
s,SPACE,156.0
SPACE,s,140.0
t,h,109.0
s,SPACE,94.0
SPACE,s,265.0
BACKSPACE,BACKSPACE,156.0
s,SPACE,156.0
SPACE,a,234.0
SPACE,t,265.0
t,e,94.0
e,s,249.0
t,SPACE,249.0
SPACE,t,172.0
o,SPACE,249.0
SPACE,s,125.0
s,e,187.0
e,SPACE,234.0
SPACE,i,546.0
SPACE,t,249.0
t,h,203.0
e,SPACE,125.0
s,SPACE,156.0
SPACE,t,702.0
t,h,234.0
t,SPACE,280.0
SPACE,i,219.0
SPACE,t,156.0
BACKSPACE,BACKSPACE,218.0
BACKSPACE,BACKSPACE,141.0
BACKSPACE,BACKSPACE,265.0
e,SPACE,124.0
SPACE,a,219.0
r,e,546.0
e,SPACE,125.0
e,SPACE,125.0
SPACE,t,796.0
o,SPACE,250.0
SPACE,t,468.0
t,h,219.0
e,r,156.0
r,e,234.0
e,SPACE,171.0
SPACE,a,203.0
r,e,187.0
e,SPACE,156.0
SPACE,t,593.0
o,SPACE,265.0
SPACE,s,125.0
s,e,187.0
e,n,109.0
t,e,172.0
e,n,156.0
e,s,203.0
s,SPACE,140.0
SPACE,i,1498.0
n,SPACE,203.0
SPACE,t,234.0
t,h,109.0
s,SPACE,156.0
SPACE,s,187.0
t,h,62.0
s,SPACE,78.0
SPACE,s,172.0
BACKSPACE,BACKSPACE,140.0
s,SPACE,140.0
SPACE,a,172.0
SPACE,t,328.0
t,e,109.0
e,s,218.0
t,SPACE,266.0
SPACE,t,202.0
o,SPACE,265.0
SPACE,s,172.0
s,e,171.0
e,SPACE,124.0
SPACE,i,266.0
BACKSPACE,BACKSPACE,593.0
s,SPACE,140.0
SPACE,t,702.0
t,h,250.0
t,SPACE,234.0
SPACE,t,140.0
BACKSPACE,BACKSPACE,125.0
SPACE,t,125.0
e,SPACE,125.0
SPACE,a,1138.0
r,e,187.0
e,SPACE,156.0
e,SPACE,109.0
SPACE,t,234.0
o,SPACE,249.0
SPACE,t,281.0
t,h,203.0
e,r,156.0
r,e,172.0
e,SPACE,172.0
SPACE,a,218.0
r,e,172.0
e,SPACE,156.0
SPACE,t,655.0
o,SPACE,250.0
SPACE,s,93.0
s,e,188.0
e,n,140.0
t,e,172.0
e,n,203.0
e,s,202.0
s,SPACE,156.0
BACKSPACE,BACKSPACE,156.0
