User ID,FreeText_Start
1,2017-04-14 20:08:14.609
2,2017-04-17 15:05:31.354
3,2017-04-17 18:36:51.925
4,2017-04-16 16:48:56.999
5,2017-04-17 12:10:16.035
6,2017-04-19 11:29:11.469
7,2017-04-19 12:52:27.358
8,2017-04-21 16:17:49.361
9,2017-04-21 16:28:33.320
10,2017-04-22 14:45:22.691
11,2017-04-29 17:49:09.378
12,2017-04-29 17:52:44.901
13,2017-04-30 13:23:38.913
14,2017-04-30 13:21:01.182
15,2017-05-01 13:06:01.861
16,2017-05-01 12:59:22.260
17,2017-05-01 15:15:37.234
18,2017-05-01 17:56:22.128
19,2017-05-03 10:22:21.045
20,2017-05-03 10:55:42.438
21,2017-05-03 14:26:20.861
22,2017-05-03 14:40:56.118
23,2017-05-04 13:27:59.258
24,2017-05-04 16:27:13.856
25,2017-05-05 12:40:39.409
26,2017-05-05 12:50:29.817
27,2017-05-05 16:55:08.701
28,2017-05-05 16:26:30.667
29,2017-05-05 18:09:55.244
30,2017-05-08 12:13:09.881
31,2017-05-08 12:29:31.105
32,2017-05-08 15:14:42.911
33,2017-05-09 11:30:28.698
34,2017-05-09 12:43:43.052
35,2017-05-09 15:22:59.443
36,2017-05-09 15:16:58.744
37,2017-05-09 17:32:05.251
38,2017-05-09 18:00:03.728
39,2017-05-10 10:29:55.533
40,2017-05-10 11:40:22.565
41,2017-05-10 13:59:26.412
42,2017-05-10 14:09:04.751
43,2017-05-11 11:13:33.793
44,2017-05-11 11:14:51.264
45,2017-05-11 12:38:26.924
46,2017-05-11 14:28:57.617
47,2017-05-11 16:38:56.650
48,2017-05-12 10:47:56.486
49,2017-05-12 12:31:41.330
50,2017-05-12 15:24:36.210
51,2017-05-12 15:21:24.278
52,2017-05-15 13:36:51.027
53,2017-05-15 15:36:44.589
54,2017-05-15 15:47:34.095
55,2017-05-15 17:03:48.524
56,2017-05-15 17:56:19.882
57,2017-05-16 11:14:55.013
58,2017-05-16 11:27:41.617
59,2017-05-16 16:50:54.769
60,2017-05-17 13:19:28.132
61,2017-05-17 13:24:38.591
62,2017-05-17 15:08:50.600
63,2017-05-17 15:27:31.869
64,2017-05-18 11:12:20.077
65,2017-05-18 15:24:13.679
66,2017-05-18 15:31:28.991
67,2017-05-19 11:19:21.051
68,2017-05-19 15:03:37.296
69,2017-05-19 16:00:14.557
70,2017-05-22 10:55:27.894
71,2017-05-22 13:01:01.961
72,2017-05-22 13:19:27.359
73,2017-05-22 16:09:30.165
74,2017-05-22 16:06:05.902
75,2017-05-23 12:27:15.469
76,2017-05-23 12:56:34.510
77,2017-05-23 13:23:23.118
78,2017-05-23 15:17:17.421
79,2017-05-23 15:12:39.688
80,2017-05-24 11:26:30.373
81,2017-05-24 11:38:58.645
82,2017-05-24 15:13:41.572
83,2017-05-24 15:04:18.045
84,2017-05-25 12:47:56.630
85,2017-05-25 13:10:25.446
86,2017-05-25 15:11:28.000
87,2017-05-25 15:16:19.123
88,2017-05-26 12:34:46.826
89,2017-05-26 15:12:02.538
90,2017-05-30 12:16:53.629
91,2017-05-30 17:13:45.223
92,2017-05-31 12:31:39.393
93,2017-05-31 15:14:55.080
94,2017-05-31 15:26:30.474
95,2017-06-01 15:07:12.045
96,2017-06-02 14:30:15.567
97,2017-06-02 15:28:11.282
98,2017-06-02 15:57:59.049
99,2017-06-05 15:19:36.144
100,2017-06-05 15:14:52.850
101,2017-06-06 14:38:18.617
102,2017-06-06 15:04:16.603
103,2017-06-06 16:27:39.897
104,2017-06-06 16:52:28.875
105,2017-06-07 12:55:49.485
106,2017-06-07 12:54:05.394
107,2017-06-07 14:41:29.419
108,2017-06-07 14:42:33.441
109,2017-06-07 16:30:23.684
110,2017-06-07 16:33:13.871
111,2017-06-08 12:33:41.894
112,2017-06-08 12:37:17.332
113,2017-06-08 14:51:44.618
114,2017-06-08 14:51:20.618
115,2017-06-08 16:41:10.251
116,2017-06-13 15:36:17.149
117,2017-06-13 16:16:16.258
